Place,County,StateCode,Population,ViolentCrime,PropertyCrime,SocietalCrime
dozier,crenshaw,al,13025,102,150,38
dunnavant,shelby,al,230115,27,25,2
dutton,jackson,al,,,,
east_brewton,escambia,al,2261,51,67,17
east_point,cullman,al,90665,1019,1190,1184
eclectic,elmore,al,1234,25,43,8
edgewater,jefferson,al,665409,3005,5309,869
edwardsville,cleburne,al,15346,268,255,98
egypt,etowah,al,103088,59,85,13
elba,coffee,al,3398,171,221,168
elberta,baldwin,al,2036,67,96,58
eldridge,walker,al,64339,185,370,253
elkmont,limestone,al,,,,
elmore,elmore,al,0,161,416,270
emelle,sumter,al,11853,14,3,0
emerald_mountain,elmore,al,89563,161,416,270
enterprise,coffee,al,29936,765,1164,291
epes,sumter,al,11853,14,3,0
ethelsville,pickens,al,18697,87,111,104
eufaula,barbour,al,12528,328,586,178
eunola,geneva,al,26783,68,122,21
eutaw,greene,al,2823,14,21,0
eva,morgan,al,4169,111,156,114
evergreen,conecuh,al,3309,43,64,24
excel,monroe,al,546,31,42,12
fairfield,jefferson,al,665409,3005,5309,869
fairford,washington,al,15122,84,103,80
fairhope,baldwin,al,23747,229,591,361
fairview,cullman,al,90665,1019,1190,1184
falkville,morgan,al,,,,
faunsdale,marengo,al,18745,40,80,6
fayette,fayette,al,4132,79,114,50
fayetteville,talladega,al,80704,596,669,228
five_points,chambers,al,34088,128,164,89
flomaton,escambia,al,1455,51,124,86
florala,covington,al,1904,56,82,95
florence,lauderdale,al,40063,975,1796,1521
foley,baldwin,al,23629,343,687,368
forestdale,jefferson,al,665409,3005,5309,869
forkland,greene,al,7422,11,45,1
fort_deposit,lowndes,al,1154,42,62,3
fort_payne,dekalb,al,14845,291,443,163
fort_rucker,dale,al,49544,445,780,302
franklin,macon,al,18516,25,39,6
fredonia,chambers,al,34088,128,164,89
frisco_city,monroe,al,1156,14,27,2
fruitdale,washington,al,15122,84,103,80
fruithurst,cleburne,al,15346,268,255,98
fulton,clarke,al,9699,103,455,101
fultondale,jefferson,al,9699,103,455,101
fyffe,dekalb,al,71998,204,222,252
gadsden,etowah,al,33521,1170,2313,54
gainesville,sumter,al,11853,14,3,0
gallant,etowah,al,103088,59,85,13
gantt,covington,al,37602,2,1,7
garden_city,cullman,al,90665,1019,1190,1184
gardendale,jefferson,al,16861,290,609,211
gaylesville,cherokee,al,25302,365,533,211
geiger,sumter,al,11853,14,3,0
geneva,geneva,al,4169,111,156,114
georgiana,butler,al,1303,29,50,15
geraldine,dekalb,al,910,14,18,5
gilbertown,choctaw,al,721,5,9,2
glen_allen,fayette,al,16118,43,65,76
glencoe,etowah,al,5406,19,49,50
glenwood,crenshaw,al,13025,102,150,38
goldville,tallapoosa,al,40977,84,164,143
good_hope,cullman,al,90665,1019,1190,1184
goodwater,coosa,al,10166,108,170,72
gordo,pickens,al,1590,4,14,6
gordon,houston,al,293,3,9,5
gordonville,lowndes,al,9777,44,83,2
goshen,pike,al,33014,25,25,0
graham,randolph,al,22479,240,257,106
grand_bay,mobile,al,411411,1536,1895,897
